
Status  Name                                                   DisplayName                                             
------  ----                                                   -----------                                             
Stopped MSDTC                                                  Služba DTC (Distributed Transaction Coordinator)        
Stopped MSiSCSI                                                Služba iniciátoru iSCSI společnosti Microsoft           
Stopped msiserver                                              Instalační služba systému Windows                       
Stopped NaturalAuthentication                                  Přirozené ověřování                                     
Stopped NcaSvc                                                 Pomocník pro připojení k síti                           
Running NcbService                                             Zprostředkovatel síťového připojení                     
Stopped NcdAutoSetup                                           Automatická instalace zařízení připojených k síti       
Stopped Netlogon                                               Služba Netlogon                                         
Stopped Netman                                                 Síťová připojení                                        
Running netprofm                                               Služba seznamu sítí                                     
Stopped NetSetupSvc                                            Služba instalace sítě                                   
Stopped NetTcpPortSharing                                      Služba sdílení portů Net.Tcp                            
Running NgcCtnrSvc                                             Microsoft Passport Container                            
Running NgcSvc                                                 Microsoft Passport                                      
Running NlaSvc                                                 Sledování umístění v síti (NLA)                         
Running nsi                                                    Služba rozhraní síťového úložiště                       
Running NvContainerLocalSystem                                 NVIDIA LocalSystem Container                            
Running NVDisplay.ContainerLocalSystem                         NVIDIA Display Container LS                             
Running OneSyncSvc_2f02ac1                                     Hostitel synchronizace_2f02ac1                          
Stopped p2pimsvc                                               Správce identit sítě rovnocenných počítačů              
Stopped p2psvc                                                 Seskupování v sítích peer-to-peer                       
Running PcaSvc                                                 Program Compatibility Assistant Service                 
Stopped perceptionsimulation                                   Windows Perception Simulation Service                   
Stopped PerfHost                                               Hostitel knihoven DLL čítačů výkonu                     
Stopped PhoneSvc                                               Telefonní služba                                        
Stopped PimIndexMaintenanceSvc_2f02ac1                         Data kontaktů_2f02ac1                                   
Stopped pla                                                    Výstrahy a protokolování výkonu                         
Running PlugPlay                                               Plug and Play                                           
Stopped PNRPAutoReg                                            Služba publikování názvu počítače pomocí protokolu PNRP 
Stopped PNRPsvc                                                Protokol PNRP (Peer Name Resolution Protocol)           
Stopped PolicyAgent                                            Agent zásad protokolu IPsec                             
Running Power                                                  Napájení                                                
Stopped PrintNotify                                            Rozšíření a oznámení tiskárny                           
Stopped PrintWorkflowUserSvc_2f02ac1                           PrintWorkflow_2f02ac1                                   
Running ProfSvc                                                Služba Profil uživatele                                 
Stopped PushToInstall                                          Služba Windows PushToInstall                            
Stopped QWAVE                                                  Sada qWave (Quality Windows Audio Video Experience)     
Stopped RasAuto                                                Správce automatického připojení pomocí vzdáleného pří...
Stopped RasMan                                                 Správce vzdáleného přístupu                             
Stopped RemoteAccess                                           Směrování a vzdálený přístup                            
Stopped RemoteRegistry                                         Vzdálený registr                                        
Stopped RetailDemo                                             Služba ukázkového režimu pro prodejny                   
Running RmSvc                                                  Služba pro správu rádia                                 
Running RpcEptMapper                                           Mapovač koncových bodů protokolu RPC                    
Stopped RpcLocator                                             Lokátor vzdáleného volání procedur (RPC)                
Running RpcSs                                                  Vzdálené volání procedur (RPC)                          
Running RstMwService                                           Intel(R) Storage Middleware Service                     
Running SamSs                                                  Správce zabezpečení účtů                                
Stopped SCardSvr                                               Čipová karta                                            
Stopped ScDeviceEnum                                           Služba výčtu zařízení čipové karty                      
Stopped SCPolicySvc                                            Zásady odebrání čipové karty                            
Stopped SDRSVC                                                 Windows Zálohování                                      
Stopped seclogon                                               Sekundární přihlašování                                 
Running SecurityHealthService                                  Služba Zabezpečení Windows                              
Running SEMgrSvc                                               Správce plateb a NFC/SE                                 
Running SENS                                                   Služba oznamování událostí systému                      
Stopped SensorDataService                                      Služba dat ze senzorů                                   
Stopped SensorService                                          Senzorová služba                                        
Stopped SensrSvc                                               Služba monitorující senzory                             
Stopped SessionEnv                                             Konfigurace vzdálené plochy                             
Running SgrmBroker                                             Zprostředkovatel monitorování Ochrany System Guard v ...
Stopped SharedAccess                                           Sdílení připojení k internetu (ICS)                     
Stopped SharedRealitySvc                                       Služba Spatial Data                                     
Running ShellHWDetection                                       Rozpoznávání hardwaru                                   
Stopped shpamsvc                                               Shared PC Account Manager                               
Running Schedule                                               Plánovač úloh                                           
Stopped smphost                                                Prostory úložiště SMP společnosti Microsoft             
Stopped SmsRouter                                              Služba směrovače SMS systému Microsoft Windows          
Stopped SNMPTRAP                                               Depeše protokolu SNMP                                   
Stopped spectrum                                               Windows Perception Service                              
Running Spooler                                                Služba zařazování tisku                                 
Stopped sppsvc                                                 Ochrana softwaru                                        
Running SSDPSRV                                                SSDP Discovery                                          
Stopped ssh-agent                                              OpenSSH Authentication Agent                            
Stopped SstpSvc                                                Služba SSTP (Secure Socket Tunneling Protocol)          
Running StateRepository                                        Služba State Repository                                 
Running Steam Client Service                                   Steam Client Service                                    
Stopped stisvc                                                 Načítání obrázků (WIA)                                  
Running StorSvc                                                Služba úložiště                                         
Stopped svsvc                                                  Ověřování přechodných chyb                              
Stopped swprv                                                  Služba Zprostředkovatel softwaru služby Stínová kopie...
Running SysMain                                                SysMain                                                 
Running SystemEventsBroker                                     Zprostředkovatel systémových událostí                   
Running TabletInputService                                     Služba Panelu dotykové klávesnice a rukopisu            
Stopped TapiSrv                                                Telefonie                                               
Stopped TermService                                            Vzdálená plocha                                         
Stopped Themes                                                 Motivy                                                  
Stopped TieringEngineService                                   Správa vrstev úložiště                                  
Running TimeBrokerSvc                                          Zprostředkovatel času                                   
Running tmHInstall                                             Thrustmaster® Hotas Service                             
Running TokenBroker                                            Správce webových účtů                                   
Running TrkWks                                                 Klient služby Sledování distribuovaných odkazů          
Stopped TroubleshootingSvc                                     Služba doporučeného řešení problémů                     
Stopped TrustedInstaller                                       Instalační služba modulů systému Windows                
Stopped tzautoupdate                                           Automatický aktualizátor časových pásem                 
Stopped UdkUserSvc_2f02ac1                                     Uživatelská služba UDK_2f02ac1                          
Stopped uhssvc                                                 Microsoft Update Health Service                         
Stopped UmRdpService                                           Přesměrovač portů uživatelského režimu služby Vzdálen...
Stopped UnistoreSvc_2f02ac1                                    Úložiště uživatelských dat_2f02ac1                      
Stopped upnphost                                               Hostitel zařízení UPnP                                  
Stopped UserDataSvc_2f02ac1                                    Přístup k uživatelským datům_2f02ac1                    
Running UserManager                                            Správce uživatelů                                       
Running UsoSvc                                                 Aktualizovat službu Orchestrator                        
Stopped VacSvc                                                 Služba Volumetric Audio Compositor                      
Running VaultSvc                                               Správce pověření                                        
Stopped vds                                                    Virtuální disk                                          
Stopped vmicguestinterface                                     Rozhraní služby hosta technologie Hyper-V               
Stopped vmickvpexchange                                        Služba výměny dat technologie Hyper-V                   
Stopped vmicrdv                                                Služba Virtualizace vzdálené plochy Hyper-V             
Stopped vmicshutdown                                           Služba vypínání hostovaného počítače technologie Hyper-V
Stopped vmictimesync                                           Služba synchronizace času technologie Hyper-V           
Stopped vmicvmsession                                          Přímá služba PowerShell pro Hyper-V                     
Stopped vmicvss                                                Žadatel služby Stínová kopie svazku technologie Hyper-V 
Stopped vmicheartbeat                                          Služba prezenčního signálu technologie Hyper-V          
Stopped VSS                                                    Stínová kopie svazku                                    
Running W32Time                                                Windows Time                                            
Stopped WaaSMedicSvc                                           Služba Windows Update Medic                             
Stopped WalletService                                          WalletService                                           
Stopped WarpJITSvc                                             WarpJITSvc                                              
Stopped wbengine                                               Služba jádra pro zálohování dat na úrovni bloků         
Stopped WbioSrvc                                               Biometrická služba systému Windows                      
Running Wcmsvc                                                 Správce připojení systému Windows                       
Stopped wcncsvc                                                Technologie Windows Connect Now – Registrátor konfigu...
Running WdiServiceHost                                         Hostitel diagnostické služby                            
Running WdiSystemHost                                          Hostitel diagnostického systému                         
Running WdNisSvc                                               Služba kontroly sítě v Antivirové ochraně v programu ...
Stopped WebClient                                              Webový klient                                           
Stopped Wecsvc                                                 Sběr událostí systému Windows                           
Stopped WEPHOSTSVC                                             Hostitelská služba zprostředkovatele šifrování Windows  
Stopped wercplsupport                                          Podpora ovládacího panelu Hlášení problémů              
Stopped WerSvc                                                 Služba Zasílání zpráv o chybách systému Windows         
Stopped WFDSConMgrSvc                                          Služba Správce připojení služeb Wi-Fi Direct            
Stopped WiaRpc                                                 Události načítání snímků                                
Running WinDefend                                              Služba Antivirová ochrana v programu Microsoft Defender 
Running WinHttpAutoProxySvc                                    Služba WinHTTP WPAD                                     
Running Winmgmt                                                Služba WMI                                              
Stopped WinRM                                                  Vzdálená správa systému Windows (WS-Management)         
Stopped wisvc                                                  Služba Windows Insider                                  
Running WlanSvc                                                Automatická konfigurace sítě WLAN                       
Stopped wlidsvc                                                Pomocník pro přihlášení pomocí účtu Microsoft           
Stopped wlpasvc                                                Služba LPA (Local Profile Assistant)                    
Stopped WManSvc                                                Služba správy Windows                                   
Stopped wmiApSrv                                               Adaptér výkonu rozhraní WMI                             
Stopped WMPNetworkSvc                                          Služba Windows Media Player Network Sharing             
Stopped workfolderssvc                                         Pracovní složky                                         
Stopped WpcMonSvc                                              Rodičovská kontrola                                     
Stopped WPDBusEnum                                             Služba Výčet přenosných zařízení                        
Running WpnService                                             Systémová služba nabízených oznámení Windows            
Running WpnUserService_2f02ac1                                 Uživatelská služba nabízených oznámení Windows_2f02ac1  
Running wscsvc                                                 Centrum zabezpečení                                     
Running WSearch                                                Windows Search                                          
Stopped wuauserv                                               Windows Update                                          
Stopped WwanSvc                                                Automatická konfigurace sítě WWAN                       
Running XblAuthManager                                         Xbox Live Auth Manager                                  
Stopped XblGameSave                                            Uložení hry Xbox Live                                   
Stopped XboxGipSvc                                             Xbox Accessory Management Service                       
Stopped XboxNetApiSvc                                          Síťová služba Xbox Live                                 


